name,opened,sector,revenue,expenses,employees,locations,customers,ads,score1,score2,growth,potential,adsPerYear
Gtfws,1996,6,8093241844,16287232773,380873,40,13,2953,60,7,358,,135
Am3Cn,1993,3,69086,37107,4,2,44,2083,40,18,-443,69086,84
DlfE Corp,1983,2,8057,3710,1,1,1,3122,70,10,913,8057,90
Qyq,1993,13,1415025,2985107,79,9,1,2458,40,5,1386,,99
Odma,1988,4,146906,174536,7,3,2,2870,40,4,-56,,96
PT59,1993,11,135240,147772,2,2,2,2542,60,1,-145,,102
Hyt,1996,4,1393514,1184719,19,5,4,1978,54,1,681,1393514,90
MsCqj,1980,6,78442654,63405300,661,3,522,2567,50,26,1791,78442654,68
X3m,1999,8,16529067557,24823917478,369506,3,8050,2405,40,59,1353,,127
Lqprwn Corp,1989,3,3666177,3502081,26,6,1,2880,60,7,-768,3666177,100
Kbi,1991,10,19069,61070,1,1,9,3316,40,5,-3121,,123
Cbd7y,1983,10,17793305,12370826,67,7,1,3242,60,2,948,17793305,93
JyzfXf LLC,1992,6,19901236,16522948,268,17,12,2926,45,1,-857,19901236,113
DhqiRmv,1986,2,542267,216226,20,5,3,1993,54,2,-801,542267,63
Dshk Inc,1978,11,25795505,21342630,227,16,16,2649,40,67,15,25795505,67
KmpW,1995,1,1643084,3262225,104,2,13,2475,70,21,138,,108
Wihe,1989,6,1365886,1640409,23,5,19,2664,80,51,-2496,,92
Bt5,1987,5,132215,238484,12,4,133,2235,20,52,1142,,73
Nza,1983,8,19094441,18462997,164,13,1,1976,60,28,534,19094441,57
ZcN,1981,7,4239199,6609648,412,3,8,2466,40,56,1123,,67
Nwyx4hjy,1992,12,163121,132943,4,2,1,2081,60,2,2412,163121,81
RL3pe Corp,1984,3,2107912,2405526,50,8,29,3098,40,5,972,,92
QWz,1995,5,2240664,2046063,18,5,1,2582,40,5,-1154,2240664,113
Ljb,1988,11,172692,237834,18,5,1,3210,40,1,377,,107
A9kq,2001,6,19742378,14702105,256,1,22,2651,50,38,-1484,19742378,156
Lxcxu,1985,1,16169,19531,1,1,19,3160,40,13,523,,96
VK1k,1992,4,5080100,3725387,56,2,9,2887,60,130,1161,5080100,112
DVvh Inc,1996,11,5266387,3063288,252,8,1,2415,60,16,-1066,5266387,110
Zfo Corp,1994,3,148604,163341,1,1,1,2002,60,27,17,,84
G23Mt3,1983,2,88891,110007,6,3,3,2313,50,1,-59,,67
I9q,1985,9,8838737,5883250,26,6,2,2390,40,9,1038,8838737,73
Qgq Corp,1991,3,61709141,126673755,9499,5,166,2256,50,14,1998,,84
VOx,1982,10,163178,70976,2,2,1635,3632,60,2,-2803,163178,101
Mhpuv Corp,1999,3,32919,26456,1,1,1,2534,52,1,1894,32919,134
YwflJ Corp,1997,12,717,1496,1,1,2,2179,80,6,-291,,104
Wtj,1983,6,17066,32812,1,1,7,2322,50,61,-1775,,67
Qlq,2004,3,461028,269924,4,2,1,1836,52,5,-918,461028,132
Qqvypu,1991,9,40310741,44839925,3035,39,16,3038,50,22,1181,,113
TyzJ,1987,11,3873115,5033439,202,4,1,2165,70,8,-1466,,70
Vws,1998,3,318722387,645624963,50133,4,1,2721,60,347,650,,137
K2iz3 Corp,1988,6,1041788,1454434,130,8,6,3078,50,220,-1105,,103
RZw,1987,8,31183,25511,1,1,11,1992,60,4,1432,31183,65
TsxTsbtBI,1983,13,343175,1169609,9,3,3,3004,80,9,397,,86
Lqrk,1993,3,71579,66432,1,1,1,2592,62,5,1755,71579,104
B2Xf,2003,8,29929,21737,1,1,1,2336,50,2,1800,29929,156
Leeftu Inc,1986,2,22759493,19701977,918,31,2,3142,38,20,486,22759493,99
DDr,1986,4,143436449,145141321,6339,44,1,2807,60,3,-857,,88
Op0mnn,1990,10,303655,414460,3,2,1,2675,40,269,-622,,96
Lyogz,1992,3,1532221,1681000,18,5,9,3130,50,1,-565,,121
ZoUt LLC,1976,8,61570,88958,2,2,1,2961,60,6,-2693,,71
Knri,1982,1,24253,24699,1,1,1,2639,60,1,704,,74
GbjzmdaluIsQy Corp,1989,3,981281,775854,51,8,4,3224,60,170,2469,981281,112
Yic,1988,11,1484921297,825354976,40637,4,1,3324,60,40,-175,1484921297,111
Mld0,1996,13,24169421,24997966,408,21,1,3058,40,9,1326,,139
AXHw Corp,1992,3,62103546,74774521,528,9,1,2484,40,4,808,,96
Ufqu Corp,1987,3,907553491,569281391,35319,6,66,2370,40,21,1409,907553491,77
Recq,1989,8,86642,145090,11,4,1,2450,56,32,-642,,85
GObq,1989,12,558591,296427,20,5,10,2205,40,12,1632,558591,77
Ige,1991,6,10839611,43098661,3997,35,9,2749,61,3,972,,102
J5if7e Inc,1992,8,812003543,954368635,13316,40,1062,1761,60,16,1733,,68
VyfuE,1995,3,53656810,64879789,420,21,2,3354,50,16,1342,,146
How Inc,1994,6,21311181,31474267,427,16,24,2540,60,2,503,,106
Ejygky,1993,11,1883500,1336911,96,10,2,3008,60,73,-24,1883500,121
Suu Corp,1979,1,1417008,1088456,13,4,1,2969,60,15,-1176,1417008,77
Zo5 Corp,2000,2,49653,40988,1,1,1,2147,40,26,-4531,49653,120
Zczph,1994,9,1577634513,1108407965,6622,9,104,2776,60,6,1114,1577634513,116
Ytpue Corp,1993,3,1502901,2007663,91,10,1,3456,50,1,-239,,139
WmYca Inc,1990,3,69473590,115064920,4373,5,2,2722,60,10,930,,98
Vsd,1988,12,324969022,429352990,40768,9,3,3150,60,10,322,,105
Ngo0,1982,3,358677,249027,18,5,1,3252,60,10,-891,358677,91
SDa,2002,3,775902,690084,5,3,62,3307,40,84,-2101,775902,207
EEF,2004,11,49152450,28531066,574,11,1,2028,60,1,1975,49152450,145
Baeb Corp,1996,11,12087575,13166139,612,10,4,1780,40,3,539,,81
Jjzh,1988,12,3243844,2558723,48,7,1,2823,60,2,-2223,3243844,95
Zuz,1997,3,1209100,1094820,9,2,1,2558,60,58,778,1209100,122
Jxf,1998,12,11755431,8015601,667,26,2,2597,60,8,3501,11755431,130
Xzrjiv,1973,6,2018111,1561490,71,3,5285341,1929,60,31,2048,2018111,43
Vfwpq,1983,12,94270849,161389216,6446,6,2,3601,50,6,128,,103
E8i Corp,1991,6,269501,103348,2,2,163,3007,40,87,-738,269501,112
Dex Corp,1996,12,4187127,4264611,210,3,2,2825,40,38,-726,,129
Lyi,1999,3,902926,749983,49,5,7,2545,60,33,-568,902926,134
Dmzo LLC,1987,13,94092123,72994643,2209,2,1,2756,40,5,375,94092123,89
Mpq Corp,1987,3,196187026,293590156,9769,56,6,1551,40,291,663,,51
Eqh9txcje Corp,1997,3,59788,49638,1,1,1,2576,60,80,-779,59788,123
Zupefgfwyz,1995,2,97200377,78263303,546,4,2,3002,40,15,651,97200377,131
Lq6,1983,3,66323554062,40619634104,2608382,2,326,2382,64,3,-162,66323554062,69
TRuuay Inc,1987,3,5427,5659,1,1,10,2713,50,2,141,,88
KKqq,1996,3,135532,153933,10,4,2,2839,60,5,-491,,130
Vxis LLC,1994,3,16628167,12611910,473,2,3,2687,40,2,161,16628167,112
FrV,2009,3,710908,835287,41,1,4,2386,45,15,-1600,,266
Hrnxa,2002,8,272348,191114,6,3,1,2365,40,3,341,272348,148
KAy9,1988,11,1636489,1563491,20,5,1,2140,70,6,288,1636489,72
Myy Corp,1992,9,1367872,2510384,157,11,32,2522,60,872,897,,97
Ltz Inc,1991,8,268361,311012,23,5,8,3067,55,2,217,,114
JxUsor,1989,7,312391052,265354172,9426,2,393,2750,50,434,629,312391052,95
Ugl,2002,3,16958,14712,1,1,2,2249,60,48,1048,16958,141
Ioia7,1997,8,1485444092,2012125284,90720,3,1,2658,64,51,526,,127
A8Td9,1997,3,13735833,37653876,1105,5,1,2735,50,9,2337,,131
AjwHW,1978,10,50416280,56474117,1044,33,1,2476,60,13,144,,62
Vo6nyo,1984,11,9907656,6974573,273,2,679,2531,40,13,-1603,9907656,75
Raroj,1992,2,127280,115920,3,2,1,2495,40,29,335,127280,96
VcP Inc,1981,6,3787,3210,1,1,1,3061,60,12,-130,3787,83
P4Eca,1986,8,451804,273303,22,5,1,2884,50,1,-38,451804,91
Wbppdx Corp,1999,6,464399921,382401999,9836,5,6,2616,52,1304,2201,464399921,138
Gowhwb LLC,1984,8,124859778,142877389,2115,46,2,2510,60,5,-1348,,74
Dho,1992,11,3558051,1957970,176,8,1,2578,60,18,-628,3558051,100
Nto Inc,1993,10,798844592,1459900613,36455,7,2,2848,70,1,-1471,,114
Ssa9fb,2002,1,3786011868,4031077337,88740,57,4,2214,40,3,724,,139
Zlvrdof,1991,3,718315,936276,34,3,1,3214,40,22,1309,,120
Urz,1991,2,107877294,167367283,1499,9,2,2837,50,116,98,,106
Jgau,1995,3,423847,252927,10,4,1,2194,60,161,544,423847,96
Ofuuhjkfsq,2000,13,61992580,69632959,2461,8,2,2175,40,2,1208,,121
ZwagIt,1990,3,14732431,7515415,113,11,1,1795,60,3,0,14732431,65
KFyb8 LLC,1993,3,1004295737,1178136432,80608,5,9,2120,60,9,49,,85
